Concept,Family,Confidence,retrieval_score,recommendation_score,production_score,evidence_support_score
elasticsearch,search_engine,verified,Yes,No,Yes,Yes
opensearch,search_engine,verified,Yes,No,Yes,Yes
solr,search_engine,verified,Yes,No,Yes,Yes
lucene,search_engine,pending,No,No,No,No
vespa,search_engine,pending,No,No,No,No
faiss,vector_database,verified,Yes,No,Yes,Yes
pinecone,vector_database,verified,Yes,No,Yes,Yes
milvus,vector_database,verified,Yes,No,Yes,Yes
qdrant,vector_database,verified,Yes,No,Yes,Yes
weaviate,vector_database,verified,Yes,No,Yes,Yes
redis_vector,vector_database,alias,Yes,No,Yes,Yes
bm25,retrieval_algorithm,verified,Yes,No,No,Yes
hnsw,retrieval_algorithm,verified,Yes,No,No,Yes
ann,retrieval_algorithm,pending,No,No,No,No
ivf,retrieval_algorithm,pending,No,No,No,No
scann,retrieval_algorithm,pending,No,No,No,No
learning_to_rank,ranking_technique,verified,Yes,No,No,Yes
cross_encoder,ranking_technique,pending,No,No,No,No
llm_ranker,ranking_technique,pending,No,No,No,No
hard_negative_mining,ranking_technique,pending,No,No,No,No
embeddings,representation_technique,verified,Yes,No,No,Yes
colbert,representation_technique,pending,No,No,No,No
splade,representation_technique,pending,No,No,No,No
dual_encoder,representation_technique,pending,No,No,No,No
retrieval,retrieval_concept,verified,Yes,No,No,Yes
search,retrieval_concept,verified,Yes,No,No,Yes
ranking,retrieval_concept,verified,Yes,No,No,Yes
reranking,retrieval_concept,verified,Yes,No,No,Yes
relevance,retrieval_concept,verified,Yes,No,No,Yes
query_understanding,retrieval_concept,verified,Yes,No,No,Yes
query_expansion,retrieval_concept,verified,Yes,No,No,Yes
semantic_search,retrieval_concept,verified,Yes,No,No,Yes
vector_search,retrieval_concept,verified,Yes,No,No,Yes
rag,retrieval_concept,verified,Yes,No,No,Yes
semantic_indexing,retrieval_concept,pending,No,No,No,No
candidate_retrieval,retrieval_concept,pending,No,No,No,No
recommendation,recommendation_concept,verified,No,Yes,No,Yes
recommendation_systems,recommendation_concept,verified,No,Yes,No,Yes
personalization,recommendation_concept,verified,No,Yes,No,Yes
matching,recommendation_concept,verified,No,Yes,No,Yes
candidate_matching,recommendation_concept,verified,No,Yes,No,Yes
feed_ranking,recommendation_concept,verified,No,Yes,No,Yes
marketplace,recommendation_concept,verified,No,Yes,No,Yes
kafka,streaming,verified,No,No,No,No
spark,data_processing,verified,No,No,No,No
pyspark,data_processing,verified,No,No,No,No
airflow,orchestration,verified,No,No,No,No
flink,streaming,verified,No,No,No,No
snowflake,data_warehouse,verified,No,No,No,No
databricks,data_processing,verified,No,No,No,No
redis,cache,verified,No,No,No,No
postgres,database,verified,No,No,No,No
