test,overlap_100,avg_move
ALPHA_+0.05,100,19.6264
ALPHA_-0.05,100,20.87
ALPHA_+0.10,99,37.15672
ALPHA_-0.10,100,41.56682
BETA_+0.05,100,1.68136
BETA_-0.05,100,1.4475
BETA_+0.10,100,3.0773
BETA_-0.10,100,3.00238
GAMMA_+0.05,100,1.10308
GAMMA_-0.05,100,1.08934
GAMMA_+0.10,100,2.14528
GAMMA_-0.10,100,2.1616
W_PROD_+0.05,100,13.87894
W_PROD_-0.05,100,17.14428
W_PROD_+0.10,100,25.6008
W_PROD_-0.10,100,26.3048
W_SPEC_+0.05,100,15.64686
W_SPEC_-0.05,100,15.23158
W_SPEC_+0.10,100,28.97952
W_SPEC_-0.10,100,28.79186
W_EVID_+0.05,100,1.3773
W_EVID_-0.05,100,1.43866
W_EVID_+0.10,100,2.79256
W_EVID_-0.10,100,2.97848
