,consulting_ratio,title_progression_score,short_tenure_count,job_count,contradiction_score
count,100.0,100.0,100.0,100.0,100.0
mean,0.2769619822502136,50.57500076293945,0.16,2.8,0.0
std,0.33977192640304565,13.94333553314209,0.3684529491774707,1.4770978917519928,0.0
min,0.0,0.0,0.0,1.0,0.0
25%,0.0,50.0,0.0,2.0,0.0
50%,0.135599996894598,50.0,0.0,3.0,0.0
75%,0.4729500040411949,50.0,0.0,4.0,0.0
90%,0.914319998025895,60.25000000000002,1.0,5.0,0.0
95%,1.0,75.0,1.0,6.0,0.0
99%,1.0,100.0,1.0,7.0,0.0
max,1.0,100.0,1.0,7.0,0.0
